modifie,par
"LOI n° 90-10 — relative à la monnaie et au crédit","ORDONNANCE n° 03-11 — relative à la monnaie et au crédit"
"DECRET EXECUTIF n° 94-310 — relatif aux modalités de fonctionnement du compte d'affectation spéciale n° 302-069 intitulé ""fonds spécial de solidarité nationale""","DECRET EXECUTIF n° 03-230 — modifiant et complétant le décret exécutif n° 94-310"
Les documents fournis ne contiennent aucune relation de modification conforme aux règles d'extraction spécifiées. Les expressions telles que "modifiée et complétée" dans les préambules décrivent l'état d'autres textes juridiques, et non une action de modification effectuée par le document en cours d'analyse. Aucun des titres des documents n'inclut de mot-clé de modification actif (ex: "modifiant"
"LOI n° 85-05 — relative à la protection et à la promotion de la santé","LOI n° 04-18 — relative à la prévention et à la répression de l'usage et du trafic illicites de stupéfiants et de substances psychotropes"
"ORDONNANCE n° 66-78 — portant création et organisation de l'institut national de la recherche agronomique d'Algérie","DECRET EXECUTIF n° 04-419 — portant transformation de l'institut national de la recherche agronomique d'Algérie en établissement public à caractère scientifique et technologique"
"DECRET EXECUTIF n° 81-348 — portant création de l'institut national de la recherche forestière","DECRET EXECUTIF n° 04-420 — portant transformation de l'institut national de la recherche forestière en établissement public à caractère scientifique et technologique"
"DECRET EXECUTIF n° 90-95 — portant organisation et modalités d'élection des magistrats au conseil supérieur de la magistrature","DECRET EXECUTIF n° 04-429 — portant organisation et modalités d'élection des magistrats membres du conseil supérieur de la magistrature"
"ORDONNANCE n° 75-59 — portant code de commerce","DECRET EXECUTIF n° 09-313 — portant création, organisation et fonctionnement de l'institut algérien des mines"
"LOI n° 84-17 — relative aux lois de finances","DECRET EXECUTIF n° 09-313 — portant création, organisation et fonctionnement de l'institut algérien des mines"
"LOI n° 88-01 — portant loi d'orientation sur les entreprises publiques économiques","DECRET EXECUTIF n° 09-313 — portant création, organisation et fonctionnement de l'institut algérien des mines"
"LOI n° 90-11 — relative aux relations de travail","DECRET EXECUTIF n° 09-313 — portant création, organisation et fonctionnement de l'institut algérien des mines"
"LOI n° 90-30 — portant loi domaniale","DECRET EXECUTIF n° 09-313 — portant création, organisation et fonctionnement de l'institut algérien des mines"
"LOI n° 01-10 — portant loi minière","DECRET EXECUTIF n° 09-313 — portant création, organisation et fonctionnement de l'institut algérien des mines"
"DECRET PRESIDENTIEL n° 99-240 — relatif à la nomination aux emplois civils et militaires de l'Etat","DECRET EXECUTIF n° 09-313 — portant création, organisation et fonctionnement de l'institut algérien des mines"
